timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/23 22:17:06.322, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 372.97 W, 63
2026/06/23 22:17:06.322, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22806 MiB, 97887 MiB, 25 %, 107.40 W, 35
2026/06/23 22:17:06.322, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 84 %, 163.23 W, 39
2026/06/23 22:17:06.322, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 22 %, 113.43 W, 34
2026/06/23 22:17:07.322, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 536.69 W, 72
2026/06/23 22:17:07.323, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 23150 MiB, 97887 MiB, 30 %, 105.21 W, 35
2026/06/23 22:17:07.323, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 84 %, 164.06 W, 39
2026/06/23 22:17:07.323, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 57 %, 117.48 W, 35
2026/06/23 22:17:08.323, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 602.60 W, 72
2026/06/23 22:17:08.323, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 23430 MiB, 97887 MiB, 12 %, 105.48 W, 34
2026/06/23 22:17:08.323, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 87 %, 159.00 W, 39
2026/06/23 22:17:08.323, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 61 %, 119.34 W, 35
2026/06/23 22:17:09.323, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 597.94 W, 74
2026/06/23 22:17:09.324, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 24462 MiB, 97887 MiB, 2 %, 102.69 W, 34
2026/06/23 22:17:09.324, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 82 %, 162.75 W, 39
2026/06/23 22:17:09.324, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 41 %, 117.00 W, 35
2026/06/23 22:17:10.324, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 529.76 W, 65
2026/06/23 22:17:10.324, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 26246 MiB, 97887 MiB, 3 %, 101.78 W, 34
2026/06/23 22:17:10.324, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 90 %, 161.38 W, 39
2026/06/23 22:17:10.325, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 22746 MiB, 97887 MiB, 62 %, 121.14 W, 35
2026/06/23 22:17:11.325, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 373.41 W, 64
2026/06/23 22:17:11.325, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30344 MiB, 97887 MiB, 45 %, 105.84 W, 35
2026/06/23 22:17:11.325, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 79 %, 160.53 W, 39
