timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/23 22:50:31.420, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 0 %, 91.61 W, 44
2026/06/23 22:50:32.424, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 200.66 W, 50
2026/06/23 22:50:33.424, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 357.40 W, 50
2026/06/23 22:50:34.425, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 356.70 W, 51
2026/06/23 22:50:35.425, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 356.28 W, 51
2026/06/23 22:50:36.425, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 358.32 W, 51
2026/06/23 22:50:37.426, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 357.92 W, 51
2026/06/23 22:50:38.426, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 512.78 W, 62
2026/06/23 22:50:39.427, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 97 %, 601.84 W, 63
2026/06/23 22:50:40.427, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 471.03 W, 54
2026/06/23 22:50:41.427, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 361.95 W, 53
2026/06/23 22:50:42.427, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 362.08 W, 54
2026/06/23 22:50:43.428, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 492.82 W, 64
2026/06/23 22:50:44.428, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 598.79 W, 65
2026/06/23 22:50:45.428, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 484.31 W, 56
2026/06/23 22:50:46.429, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 364.11 W, 55
2026/06/23 22:50:47.429, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 366.05 W, 55
2026/06/23 22:50:48.429, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 469.55 W, 65
2026/06/23 22:50:49.430, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 599.94 W, 66
2026/06/23 22:50:50.430, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 600.82 W, 67
2026/06/23 22:50:51.430, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 602.65 W, 67
2026/06/23 22:50:52.431, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 555.49 W, 60
2026/06/23 22:50:53.431, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 367.78 W, 58
2026/06/23 22:50:54.433, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 367.10 W, 58
2026/06/23 22:50:55.434, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 367.10 W, 58
2026/06/23 22:50:56.434, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 600.52 W, 68
2026/06/23 22:50:57.434, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 605.11 W, 69
2026/06/23 22:50:58.435, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 599.08 W, 70
2026/06/23 22:50:59.435, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.87 W, 69
2026/06/23 22:51:00.435, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 439.02 W, 60
2026/06/23 22:51:01.436, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 369.32 W, 60
2026/06/23 22:51:02.436, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 369.46 W, 59
2026/06/23 22:51:03.436, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 497.24 W, 69
2026/06/23 22:51:04.437, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 604.85 W, 70
