controller,n,latency_mean_s,latency_std_s,latency_min_s,latency_max_s,max_token_usage_mean,max_queue_req_mean,cached_token_ratio_mean
no_control,3,219.04972305232513,94.62776174904342,162.9477029700065,328.3031702530061,0.9566666666666667,116.0,0.15710226857201792
request_cap_4,3,183.4931668836507,2.87037449053534,181.56718123197788,186.7921785810031,0.92,2.3333333333333335,0.16007061851228982
fixed_window_4,3,117.28452502732883,2.6290258929737407,115.47178020900174,120.2997464860091,0.9666666666666667,1.6666666666666667,0.6633478082782766
fixed_window_8,3,163.91371607999704,1.3445238041272476,162.84753050800646,165.42414223001106,0.9566666666666667,6.0,0.20288050352169903
concur_dynamic_v2,3,188.6933295310082,31.651313162002616,167.17403246602044,225.03608802399685,0.97,76.0,0.18213946823437965
