timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/23 22:27:52.228, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 52774 MiB, 97887 MiB, 51 %, 134.79 W, 36
2026/06/23 22:27:52.228, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 50726 MiB, 97887 MiB, 65 %, 142.86 W, 36
2026/06/23 22:27:52.229, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 51750 MiB, 97887 MiB, 39 %, 117.47 W, 34
2026/06/23 22:27:53.229, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 0 %, 269.41 W, 60
2026/06/23 22:27:53.229, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 52774 MiB, 97887 MiB, 67 %, 138.48 W, 36
2026/06/23 22:27:53.229, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 50726 MiB, 97887 MiB, 52 %, 136.90 W, 37
2026/06/23 22:27:53.229, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 51750 MiB, 97887 MiB, 60 %, 121.90 W, 35
2026/06/23 22:27:54.230, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 564.17 W, 74
2026/06/23 22:27:54.230, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 52774 MiB, 97887 MiB, 71 %, 132.93 W, 36
2026/06/23 22:27:54.230, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 50726 MiB, 97887 MiB, 51 %, 146.28 W, 36
2026/06/23 22:27:54.230, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 51750 MiB, 97887 MiB, 27 %, 116.93 W, 34
2026/06/23 22:27:55.230, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 596.82 W, 75
2026/06/23 22:27:55.231, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 52774 MiB, 97887 MiB, 77 %, 139.25 W, 36
2026/06/23 22:27:55.231, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 50726 MiB, 97887 MiB, 30 %, 129.88 W, 36
2026/06/23 22:27:55.231, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 51750 MiB, 97887 MiB, 43 %, 105.17 W, 34
2026/06/23 22:27:56.231, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 598.27 W, 76
2026/06/23 22:27:56.231, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 52774 MiB, 97887 MiB, 32 %, 133.32 W, 36
2026/06/23 22:27:56.232, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 50726 MiB, 97887 MiB, 39 %, 133.34 W, 37
2026/06/23 22:27:56.232, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 51750 MiB, 97887 MiB, 49 %, 111.12 W, 34
2026/06/23 22:27:57.232, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 604.08 W, 75
2026/06/23 22:27:57.232, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 52774 MiB, 97887 MiB, 74 %, 135.83 W, 37
2026/06/23 22:27:57.232, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 50726 MiB, 97887 MiB, 73 %, 147.84 W, 37
2026/06/23 22:27:57.232, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 51750 MiB, 97887 MiB, 47 %, 105.42 W, 34
2026/06/23 22:27:58.233, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 597.75 W, 77
2026/06/23 22:27:58.233, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 52774 MiB, 97887 MiB, 81 %, 134.47 W, 36
2026/06/23 22:27:58.233, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 50726 MiB, 97887 MiB, 66 %, 140.82 W, 36
2026/06/23 22:27:58.233, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 51750 MiB, 97887 MiB, 5 %, 111.24 W, 34
2026/06/23 22:27:59.233, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.48 W, 76
2026/06/23 22:27:59.234, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 52774 MiB, 97887 MiB, 85 %, 134.58 W, 37
