scenario,controller,n,latency_mean_s,latency_std_s,latency_min_s,latency_max_s,max_queue_req_mean,max_pending_token_mean,cached_token_ratio_mean,controller_event_count_mean
b12_medium,concur_cache_aware_v1,1,223.85258632799378,0.0,223.85258632799378,223.85258632799378,6.0,120583.0,0.34680532410825404,124.0
b12_medium,phase_window_v1,1,216.47761929500848,0.0,216.47761929500848,216.47761929500848,6.0,97686.0,0.38001727584094175,108.0
b16_medium,concur_cache_aware_v1,1,289.6075806239969,0.0,289.6075806239969,289.6075806239969,6.0,120588.0,0.40621753991388365,159.0
b16_medium,phase_window_v1,1,294.78455258504255,0.0,294.78455258504255,294.78455258504255,6.0,95521.0,0.3548104537834523,144.0
b8,concur_cache_aware_v1,3,111.39214700066562,2.993816441378725,109.271686484979,114.81683751102537,3.3333333333333335,33917.666666666664,0.6660973417212502,65.0
b8,phase_window_v1,3,143.41490449102517,7.423320832117698,135.75639870599844,150.57824781903764,6.0,94847.66666666667,0.4090928519339626,72.0
b8_long_ctxfit,concur_cache_aware_v1,1,504.2904264359968,0.0,504.2904264359968,504.2904264359968,6.0,192937.0,0.312287575738994,259.0
b8_long_ctxfit,phase_window_v1,1,591.5214886500034,0.0,591.5214886500034,591.5214886500034,7.0,243382.0,0.102026537276871,104.0
