scenario,controller,n,latency_mean_s,latency_min_s,latency_max_s,max_token_usage_mean,max_queue_req_mean,cached_token_ratio_mean
b12_medium,concur_cache_aware_v1,1,223.85258632799378,223.85258632799378,223.85258632799378,0.98,6.0,0.34680532410825404
b12_medium,phase_window_v1,1,216.47761929500848,216.47761929500848,216.47761929500848,0.97,6.0,0.38001727584094175
b16_medium,concur_cache_aware_v1,1,289.6075806239969,289.6075806239969,289.6075806239969,0.98,6.0,0.40621753991388365
b16_medium,phase_window_v1,1,294.78455258504255,294.78455258504255,294.78455258504255,0.99,6.0,0.3548104537834523
b8_long_ctxfit,concur_cache_aware_v1,1,504.2904264359968,504.2904264359968,504.2904264359968,0.98,6.0,0.312287575738994
b8_long_ctxfit,phase_window_v1,1,591.5214886500034,591.5214886500034,591.5214886500034,0.98,7.0,0.102026537276871
