timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/23 22:13:43.618, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 7 %, 124.83 W, 34
2026/06/23 22:13:43.618, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 92 %, 152.53 W, 35
2026/06/23 22:13:44.618, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 598.16 W, 65
2026/06/23 22:13:44.618, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 15 %, 115.28 W, 33
2026/06/23 22:13:44.618, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 72 %, 130.29 W, 34
2026/06/23 22:13:44.618, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 95 %, 147.93 W, 35
2026/06/23 22:13:45.619, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 97 %, 579.96 W, 66
2026/06/23 22:13:45.619, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 39 %, 125.16 W, 34
2026/06/23 22:13:45.619, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 76 %, 132.47 W, 34
2026/06/23 22:13:45.619, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 94 %, 149.32 W, 35
2026/06/23 22:13:46.620, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 605.03 W, 66
2026/06/23 22:13:46.620, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 67 %, 126.97 W, 34
2026/06/23 22:13:46.620, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 12 %, 136.07 W, 35
2026/06/23 22:13:46.620, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 94 %, 149.04 W, 35
2026/06/23 22:13:47.620, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 601.57 W, 67
2026/06/23 22:13:47.621, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 55 %, 134.97 W, 34
2026/06/23 22:13:47.621, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 62 %, 129.02 W, 34
2026/06/23 22:13:47.621, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 94 %, 150.88 W, 35
2026/06/23 22:13:48.621, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 594.96 W, 66
2026/06/23 22:13:48.622, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 65 %, 125.41 W, 34
2026/06/23 22:13:48.622, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 78 %, 132.78 W, 35
2026/06/23 22:13:48.622, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 94 %, 151.86 W, 35
2026/06/23 22:13:49.622, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 491.82 W, 57
2026/06/23 22:13:49.623, 1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 30246 MiB, 97887 MiB, 60 %, 127.25 W, 34
2026/06/23 22:13:49.623, 2, NVIDIA RTX PRO 6000 Blackwell Server Edition, 20104 MiB, 97887 MiB, 41 %, 130.41 W, 35
2026/06/23 22:13:49.623, 3, NVIDIA RTX PRO 6000 Blackwell Server Edition, 18384 MiB, 97887 MiB, 90 %, 149.48 W, 35
2026/06/23 22:13:50.623, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84627 MiB, 97887 MiB, 100 %, 368.16 W, 57
