scenario,controller,n,latency_mean_s,latency_min_s,latency_max_s,max_token_usage_mean,max_queue_req_mean,cached_token_ratio_mean
b12_medium,cache_gate_v1,1,209.97768622398144,209.97768622398144,209.97768622398144,0.99,6.0,0.40707606392061146
b12_medium,tail_open_v1,1,228.5940297570196,228.5940297570196,228.5940297570196,0.9,6.0,0.3414752473159105
b16_medium,cache_gate_v1,1,265.4671062750276,265.4671062750276,265.4671062750276,0.99,6.0,0.4908086249779907
b16_medium,tail_open_v1,1,285.6286186109646,285.6286186109646,285.6286186109646,0.96,6.0,0.40330595754471654
