timestamp, index, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/06/23 22:54:16.208, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 0 %, 91.35 W, 44
2026/06/23 22:54:17.211, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 306.62 W, 49
2026/06/23 22:54:18.212, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 362.82 W, 50
2026/06/23 22:54:19.212, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 364.31 W, 50
2026/06/23 22:54:20.213, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 408.75 W, 60
2026/06/23 22:54:21.213, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 592.86 W, 62
2026/06/23 22:54:22.213, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.33 W, 62
2026/06/23 22:54:23.214, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 599.75 W, 64
2026/06/23 22:54:24.214, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 551.37 W, 55
2026/06/23 22:54:25.215, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 367.17 W, 54
2026/06/23 22:54:26.215, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 367.82 W, 53
2026/06/23 22:54:27.215, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 367.16 W, 53
2026/06/23 22:54:28.216, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 559.44 W, 64
2026/06/23 22:54:29.216, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 597.32 W, 65
2026/06/23 22:54:30.216, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.53 W, 64
2026/06/23 22:54:31.217, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 600.30 W, 66
2026/06/23 22:54:32.217, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.57 W, 67
2026/06/23 22:54:33.218, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 97 %, 601.48 W, 66
2026/06/23 22:54:34.218, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 598.77 W, 67
2026/06/23 22:54:35.219, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 605.80 W, 68
2026/06/23 22:54:36.219, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 519.44 W, 59
2026/06/23 22:54:37.220, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 370.20 W, 58
2026/06/23 22:54:38.220, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 371.26 W, 57
2026/06/23 22:54:39.220, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 371.92 W, 57
2026/06/23 22:54:40.221, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 435.05 W, 67
2026/06/23 22:54:41.221, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 602.44 W, 67
2026/06/23 22:54:42.222, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 599.66 W, 68
2026/06/23 22:54:43.222, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 592.02 W, 69
2026/06/23 22:54:44.222, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 599.09 W, 69
2026/06/23 22:54:45.223, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.52 W, 68
2026/06/23 22:54:46.227, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 600.43 W, 69
2026/06/23 22:54:47.228, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 598.14 W, 69
2026/06/23 22:54:48.228, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 595.78 W, 70
2026/06/23 22:54:49.229, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.42 W, 70
2026/06/23 22:54:50.229, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 602.26 W, 70
2026/06/23 22:54:51.230, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 97 %, 599.89 W, 71
2026/06/23 22:54:52.230, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 415.61 W, 61
2026/06/23 22:54:53.230, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 373.78 W, 60
2026/06/23 22:54:54.232, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 372.93 W, 60
2026/06/23 22:54:55.232, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 454.22 W, 70
2026/06/23 22:54:56.233, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 603.17 W, 70
2026/06/23 22:54:57.233, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 599.51 W, 70
2026/06/23 22:54:58.234, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 602.89 W, 71
2026/06/23 22:54:59.234, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.73 W, 71
2026/06/23 22:55:00.234, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.48 W, 71
2026/06/23 22:55:01.235, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 601.03 W, 72
2026/06/23 22:55:02.235, 0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 84629 MiB, 97887 MiB, 100 %, 600.77 W, 71
